Quarter,Companies,Tone,Positive Score,Negative Score,Polarity Score,Activity Reference Density,Self/Group Reference Density,Word Count 
2010Q4,LOW,,,,,,,
2011Q1,LOW,,,,,,,
2011Q2,LOW,,,,,,,
2011Q3,LOW,,,,,,,
2011Q4,LOW,,,,,,,
2012Q1,LOW,,,,,,,
2012Q2,LOW,,,,,,,
2012Q3,LOW,,,,,,,
2012Q4,LOW,,,,,,,
2013Q1,LOW,,,,,,,
2013Q2,LOW,,,,,,,
2013Q3,LOW,,,,,,,
2013Q4,LOW,,,,,,,
2014Q1,LOW,,,,,,,
2014Q2,LOW,,,,,,,
2014Q3,LOW,,,,,,,
2014Q4,LOW,,,,,,,
2015Q1,LOW,-1.1779612408726579,0.9020554065217503,2.08001664739441,2.982072053916164,19.245569460298366,0.0,328.3333333333333
2015Q2,LOW,-0.10585669821093119,1.57781678459466,1.6836734828055908,3.2614902674002497,20.75794571874139,0.47146966148665337,449.5
2015Q3,LOW,1.3499403261895888,3.12855444766761,1.7786141214780213,4.907168569145634,22.99202278758913,0.3564857158376894,445.84615384615387
2015Q4,LOW,-1.2546969166230344,1.3007832542487923,2.5554801708718267,3.856263425120621,21.55914996646187,0.4737352219915805,533.0
2016Q1,LOW,-0.18469852524109928,2.259323172111993,2.444021697353093,4.70334486946509,21.25888273763685,0.43454835867159025,657.25
2016Q2,LOW,0.5005638279925055,2.5196895838327897,2.01912575584028,4.538815339673064,22.101169388135652,0.0,434.0
2016Q3,LOW,0.1366626092045642,2.1522360199402875,2.015573410735725,4.167809430676011,22.068519014391352,0.39641869913526784,1097.1666666666667
2016Q4,LOW,3.36050746329585,4.224584037141947,0.8640765738460963,5.088660610988045,20.49222293681145,0.2788172063306313,715.5
2017Q1,LOW,0.6856571739337334,2.4335706859724997,1.747913512038767,4.1814841980112645,22.98499077978521,1.0914234351746877,633.5555555555555
2017Q2,LOW,0.7103697634110454,2.167185138850394,1.4568153754393478,3.6240005142897425,19.395610925655706,1.3514908005235864,1960.888888888889
2017Q3,LOW,-0.3350660858969543,2.26370680046004,2.5987728863569948,4.8624796868170375,21.22217790425005,0.15953062836962478,1052.125
2017Q4,LOW,-0.11257856284119627,2.2038150419295057,2.316393604770701,4.520208646700207,19.744109464888133,0.34260414510189546,1054.3333333333333
2018Q1,LOW,0.2839712930025661,2.336948149412166,2.0529768564096007,4.389925005821768,20.240806829773152,0.34122021987492,1089.7619047619048
2018Q2,LOW,-1.0605828251605982,1.8658758538473141,2.92645867900791,4.792334532855223,18.79289381519288,0.457224895452162,1197.6
2018Q3,LOW,0.5153177388824232,1.6846706567878367,1.1693529179054132,2.854023574693251,19.50469622691218,0.15914071140064082,930.7
2018Q4,LOW,0.697441981539852,2.0366316477102213,1.3391896661703702,3.3758213138805924,22.48710759260965,0.8001985848375714,732.0
2019Q1,LOW,0.3415538391641157,1.6104622773310158,1.268908438166901,2.8793707154979167,18.327217681497206,0.24328657785988705,1427.8333333333333
2019Q2,LOW,3.738030526323586,4.3556253337711,0.617594807447507,4.973220141218614,19.608669733826165,0.44803030265627736,643.3333333333334
2019Q3,LOW,1.2208688089096347,2.400071372934905,1.1792025640252684,3.579273936960171,18.453419631366927,0.5551025970733402,982.3636363636364
2019Q4,LOW,0.392156862745098,1.76470588235294,1.37254901960784,3.13725490196078,23.3333333333333,1.17647058823529,443.0
2020Q1,LOW,,,,,,,
2020Q2,LOW,0.0713649435014864,2.833694120888894,2.7623291773874117,5.596023298276306,23.49823133205416,2.1021100318413724,1033.8
2020Q3,LOW,2.494173796117087,4.109004458571893,1.614830662454807,5.723835121026702,23.8252086808569,1.0981816321464024,601.5555555555555
2020Q4,LOW,2.743913744475099,3.60669501952526,0.8627812750501653,4.4694762945754265,21.811624833415568,0.47951681913812405,716.0
2021Q1,LOW,-0.029271662848619928,2.3820951965383097,2.41136685938693,4.793462055925239,23.940402167193902,0.7168830224355475,533.0
2021Q2,LOW,1.4262187088274045,2.6320346320346335,1.205815923207229,3.8378505552418596,25.597120271033333,0.33625070581592303,831.3333333333334
2021Q3,LOW,1.2830024282642265,2.72469378987019,1.4416913616059612,4.16638515147615,26.361645065369213,0.7738044053945616,809.75
2021Q4,LOW,1.974941277140212,2.638916761197975,0.6639754840577622,3.30289224525574,24.11470403489465,1.548652688724915,965.5
2022Q1,LOW,2.5774326604922706,3.9008260064576654,1.323393345965395,5.224219352423061,23.496307039716385,1.6236948540733198,905.0769230769231
2022Q2,LOW,1.3692451054835633,2.5730162885501713,1.2037711830666087,3.7767874716167764,21.669530716951,0.7582937918338675,1585.7777777777778
2022Q3,LOW,1.1556310217084296,2.1098494467583837,0.9542184250499529,3.0640678718083354,23.85051336866541,0.8876697614850636,943.1111111111111
2022Q4,LOW,0.5390230888333813,1.4709014355577563,0.9318783467243752,2.402779782282132,24.574457531602064,0.9726119752518272,2534.8260869565215
2023Q1,LOW,0.504988195349877,2.0097686566717567,1.5047804613218785,3.514549117993635,23.8771412174407,1.782134295012745,2692.0
2023Q2,LOW,0.629035972249701,1.933909788823985,1.304873816574285,3.23878360539827,25.9582058958034,0.951354270387031,2270.0
2023Q3,LOW,1.96115406373751,3.82802187441071,1.8668678106732,5.69488968508391,23.5338487648501,6.4680369602112,4809.0
2023Q4,LOW,1.88355784493069,3.0701347472958798,1.1865769023651849,4.2567116496610655,19.17118614327465,2.987543791358505,2490.5
2024Q1,LOW,2.4313604285475625,3.05538737959129,0.6240269510437304,3.6794143306350224,21.95851080469295,1.839990810909217,2006.875
2009Q4,M,,,,,,,
2010Q1,M,,,,,,,
2010Q2,M,,,,,,,
2010Q3,M,,,,,,,
2010Q4,M,,,,,,,
2011Q1,M,,,,,,,
2011Q2,M,,,,,,,
2011Q3,M,,,,,,,
2011Q4,M,,,,,,,
2012Q1,M,,,,,,,
2012Q2,M,,,,,,,
2012Q3,M,,,,,,,
2012Q4,M,,,,,,,
2013Q1,M,,,,,,,
2013Q2,M,,,,,,,
2013Q3,M,,,,,,,
2013Q4,M,,,,,,,
2014Q1,M,,,,,,,
2014Q2,M,,,,,,,
2014Q3,M,,,,,,,
2014Q4,M,,,,,,,
2015Q1,M,2.317950060619474,2.9052908879467196,0.587340827327245,3.4926317152739657,21.914865567672486,0.23795293390580285,272.7142857142857
2015Q2,M,-0.5364406663414389,2.182872348210537,2.719313014551976,4.902185362762514,22.52892987238997,0.8600139216661677,510.83673469387753
2015Q3,M,1.2195114887419205,1.7802198809126237,0.5607083921707032,2.3409282730833274,17.592505367673326,0.409358076148525,505.84444444444443
2015Q4,M,-0.12295642862440578,1.5094360189954383,1.6323924476198437,3.141828466615282,20.767356570344283,0.3250043507416172,541.1481481481482
2016Q1,M,-2.4848554135819696,1.0745260180487866,3.5593814316307553,4.633907449679542,20.537570906161672,0.13173109728699214,818.8214285714286
2016Q2,M,0.17767996763315835,1.4400578482374067,1.2623778806042485,2.7024357288416567,16.577195292712045,0.3962982275611041,1087.25
2016Q3,M,0.11313468629481116,0.9451149196934645,0.8319802333986556,1.77709515309212,16.51539721069873,0.04105090311986864,528.3571428571429
2016Q4,M,0.6639317898574871,1.3181246197221261,0.6541928298646393,1.9723174495867644,19.189515833246116,0.3803390853750565,322.5
2017Q1,M,-3.626962979078015,1.2979729746335296,4.924935953711545,6.222908928345069,24.844000406069927,0.46234372990717854,959.6395348837209
2017Q2,M,-1.4950045030241,1.674638179420586,3.169642682444687,4.844280861865269,19.71440688401358,0.6646275611935079,792.4
2017Q3,M,-0.5381315961916059,1.5310496367039406,2.069181232895547,3.60023086959949,19.47553305299513,0.29961154757823805,923.7
2017Q4,M,0.298392061483186,1.8272190415796683,1.528826980096482,3.3560460216761507,19.307467054955495,0.23522813169422743,1018.85
2018Q1,M,-0.765088621421919,2.095321094397963,2.860409715819881,4.955730810217844,20.978743247647234,0.2759751051088417,967.7368421052631
2018Q2,M,0.7146352142683075,2.239970417804422,1.525335203536115,3.7653056213405374,19.660976813479166,0.40656338389330055,865.5
2018Q3,M,0.9774447792258151,2.129664957402263,1.1522201781764492,3.2818851355787135,22.534826457372,0.4535559172296919,741.8181818181819
2018Q4,M,-0.7345484630277777,1.9428613574860982,2.677409820513875,4.620271177999983,22.20845559308258,0.6333856288042905,194.2674418604651
